user_id,eval_set,last_product_ids
94268,train,"3957, 13176, 45279, 27966, 22915, 45840, 33018, 22721, 33754, 8475, 11422, 17638, 18618, 39132, 42333, 25, 14833, 40709, 3044, 20282, 47329, 46817, 22124, 196, 39877, 45066, 10957, 8859, 5161, 42731, 48732, 20120, 13170, 24109, 34995, 26165, 42183, 10409, 14086, 31102"
32664,train,"45504, 1816, 18531, 2855, 25890, 7628, 41259, 24382, 15613, 17794"
126203,test,23452
163701,test,"48364, 34234, 34969, 14318, 6052, 46639, 22959, 15324, 21938, 24184, 2295, 43461, 29112, 17389, 7644, 16953, 15613"
17198,test,"13176, 5212, 35951, 20995, 21038, 18027, 23081, 39561, 11520, 16797, 38456, 2450, 44948, 12144, 37022, 17948, 26949, 43961, 49478, 9595, 19611, 12395, 21405, 8277, 22825"
119338,train,"20738, 7175, 6860, 24276, 5479"
122829,train,"44019, 47209, 13176, 8277, 33716, 21936, 25197, 22915, 39180, 12745, 38844, 23233, 48628, 3464, 22825, 20876, 21137, 45635, 41950, 19019, 20632, 44008, 365, 27156, 17273, 32734, 21955, 34243, 35951, 19816, 19678, 3952, 30753, 30720, 26604, 44948, 4605, 24810"
137183,train,"10108, 36393, 47626, 39812, 44142, 10504, 17341, 37886, 27801, 43568, 5077, 25146, 38185, 45290, 19468, 26002, 5067"
156562,test,"16185, 29392, 7332, 45007, 44142, 26503, 43252, 13885, 6377, 28157, 7600, 12845"
30164,test,"39097, 5646, 43713, 30391, 44359, 18465, 45679, 30489, 11421, 18618, 5684, 13519, 22559, 45613, 49667, 44366, 33957, 33647, 47766, 18205, 5322, 37417, 20773, 16793, 31477, 38730, 43143, 25, 46257, 32653, 34658, 24852"
85760,test,"12916, 40910, 36892, 45064, 29487, 29250, 14634, 40219, 782, 33772, 7838, 23888, 26312, 46522, 41912, 22989, 28953, 13966, 17323, 19805, 29104, 7837, 31299, 15612"
68787,train,"13176, 8277, 3634, 46906, 19049, 43086, 2780, 9507, 2781, 46049, 16715, 5876, 28597, 21449, 46206, 2979, 6348, 39225, 48395, 21543, 47965, 10129, 40706, 17273, 40054, 12872, 23898, 45948, 22716, 21616, 10447, 34049, 23047, 30365"
200712,test,"47144, 41844, 37940, 46280, 27313, 9387, 38456, 49279, 48205"
22906,train,"41363, 29270, 47209, 41665, 13176, 28420, 39475, 27845, 15153, 11941"
30440,test,"36086, 10823, 12232, 12333, 10957, 33198, 46972, 4137, 39491"
64258,test,"15937, 28985, 30406"
200946,train,"13176, 48784, 7155, 37646, 39877, 43352, 26604, 23516, 19450, 8017, 47564, 7361, 3143, 13984, 42265, 36695, 38689, 21616, 2611, 40706, 13629"
116542,test,13535
116031,test,"19057, 43692, 1940, 24010, 33540, 20113, 46321, 31338, 27966"
18821,train,"44359, 47209, 30391, 9839, 44953, 26032, 27521, 44035, 11512, 27966, 10978, 35135"
151742,train,"40706, 33590, 30489, 28985, 38838, 10243, 9786, 19057, 5450, 21616, 22935"
198077,train,"5077, 14875, 39560, 13147, 6631, 47516, 31640, 20955, 45123, 4006, 16953, 4986, 13702, 18461, 36854, 43262, 18926, 47006, 19156, 18523, 33754"
156475,train,"32740, 6348, 13176, 7177, 44479, 7781"
70304,test,"36011, 49235, 10761, 21616, 4920, 38793, 45007, 46676, 44479, 39275, 3599, 16570, 512, 23375, 24506, 27845, 8424, 23021, 26369, 12258, 22038, 33787"
29216,test,"16797, 48552, 42731, 285, 33301, 26604, 19604, 36058, 46023, 47197, 6245, 1395, 40373, 39041, 47058, 39891, 3880, 29689, 9901, 766, 16607, 47145, 15190, 25329, 47400, 1263, 16378, 22551, 19258, 2575, 39803, 790, 18339, 24852"
71844,test,"33198, 24964, 31717, 18465, 10385, 26369, 17461, 18880, 28156, 17400"
71322,train,"14711, 25879, 28309, 48220, 49026, 4421, 45002, 32655"
129792,test,"27845, 26131, 45106, 47912, 28204, 8670, 19204, 43928, 17007, 6348"
79595,train,"44479, 17600, 45, 10504, 16349, 47766, 9038, 33731, 2314, 46575, 21137, 26604"
119647,test,"34861, 1582, 34358, 14705, 21927"
128777,train,"47977, 24914, 26216, 47551, 39041, 23044, 17579, 23026, 14307, 39947, 36316, 31506, 22831, 9710, 24517, 29363, 16213, 42585, 21227, 21903"
171379,test,"25144, 21106, 44799, 9076, 11869, 21330"
73168,train,"47209, 46738, 33787, 15937, 26324, 4796, 33352, 39408, 18288"
183420,train,"47626, 31553, 32624, 2658, 31562, 10945, 25134, 9098, 9387, 39408, 7969, 35042, 48806"
116145,train,"19084, 38510, 27104, 31869, 260"
35155,train,"13176, 47209, 42309, 35188, 17421, 21137, 34584, 2228, 5161"
1899,train,"16152, 35469, 34493, 15175, 12324, 29116, 25554, 27681, 48481, 37131, 38185, 38371, 23418, 17615, 31059, 46475, 44085, 35871, 15650, 21417, 528, 37274, 42078, 28204, 15290, 16066, 34789, 9551, 20919"
56812,train,"24852, 41220, 27881, 28289, 40604, 31343, 16973"
106250,test,"32689, 432, 33232, 7301, 36239, 46050, 40117"
133444,train,"3957, 14129, 39097, 24369, 5876, 28745, 27344, 43234, 27522, 29432, 26047, 1463, 14947, 14702, 13176, 30135"
185452,train,"49259, 20734, 20842"
28786,test,"39464, 42352, 24458, 47145, 38456"
200366,test,"45504, 6948, 43654, 21137, 27966, 14399, 25670, 44882, 37067, 21704, 15741, 30662, 47848, 94, 46886, 36956, 12745, 22035, 11499, 47209, 19057, 27454, 27156, 28286, 30949, 5250, 16759, 46204, 37511, 26629, 35708, 11688"
92557,test,"12323, 16073, 34768, 27104, 37687, 45698"
170493,test,"5876, 9666, 47912, 7175, 17668, 21137, 27966"
30536,test,"18286, 12162, 24118, 22141, 19503, 6692, 48109, 35521, 32869, 40706, 39024, 24056, 18234, 2552, 4462, 7287, 24759, 5396, 35090, 18336, 16757, 26165, 47223, 26062"
28641,test,"29553, 13237, 25985, 35123, 4347, 3856, 36144, 41844, 4451, 47577, 27238, 38349, 48205, 14118"
767,train,"9210, 10504, 27336, 9127, 15613, 24964, 33043, 43352, 47626, 18956"
144956,train,"37067, 11520, 27966, 47209, 46807, 12492, 39928, 26131, 43545, 29557, 44310, 21137, 43662, 14867, 25705, 48666, 1408, 45916, 37646, 26940, 28535, 18176, 27104, 5134, 37792, 14858, 43294, 19611, 1749, 41860, 43961, 27454, 25340, 38159, 26369, 3724, 4920"
156306,train,"11643, 47766, 29127, 10945, 38995, 43465, 9159, 15937, 44402, 14992, 24184, 33909, 45541, 39802, 44085, 10151, 46982, 15925"
161786,train,44987
45175,train,"40795, 13176, 11576, 3957, 22825, 14651, 7412, 12392, 39477, 27966"
146630,test,"43154, 27086, 24852, 45282, 36076, 14409, 30489, 33120, 1103, 41177, 37158, 38293, 18594, 38601, 27104, 22935, 29285, 28204, 22298, 22474, 21903, 17949, 7559, 43504, 27521, 11130, 38250, 26315, 21791"
19116,test,"24852, 6774, 780, 5025, 5337, 42736, 6348, 28204, 3952, 45066, 18434, 24184, 15290, 38273, 31506, 397, 44422, 17872, 7099, 35749, 16185, 21405"
23275,train,"47141, 29104, 43252, 4081, 37131, 4317, 23341, 21949"
98614,test,"13371, 27726, 19985"
204596,train,"36011, 18838, 31343, 21903, 34012, 35951, 7485, 18370, 32486, 14462, 35628, 1640, 26914, 5322, 28985, 39216, 2295, 22825, 18556, 12125, 34969, 13249, 17948, 12845, 25095, 33438, 17555, 3252, 31717, 12258, 35503, 34, 4605, 42828, 16886, 2450, 48697, 28553, 10644, 38288, 14267, 42585, 24964, 12872, 29898, 31292, 9092"
98743,test,"196, 28427, 8638, 14134, 17334, 10255, 24852, 23363, 43435, 26209, 29487, 41844, 41290, 34753, 20833, 37033, 29409, 48039, 23085, 28748, 24306, 1117, 27179, 3381"
155088,test,"17599, 23341, 25170, 18190"
95898,train,"35725, 10343, 13176, 15261, 4086, 27177, 29199"
56252,test,"47766, 16797, 43789, 31506, 8277, 12442, 32380, 810, 7715, 47463, 5876, 26369"
160347,test,"3962, 26800, 36606, 35503, 33636, 14720, 29662, 35218, 10060, 21137, 5959, 12845, 38274, 19446, 28849, 24852, 8605, 21850, 11005, 4799, 4302, 13212, 7485"
28477,test,"39375, 12838, 46667"
84496,train,"24759, 9071, 16290, 16714, 10616, 3364, 8295, 23450, 22542, 2872, 35181, 36262, 8832"
67584,test,"35951, 12341, 16797, 42265, 39275, 280, 16283"
153641,train,"44629, 2309, 34551, 1516, 2983, 38562, 21137, 13176, 39275, 39784, 5360, 46969, 26128, 23165, 3339, 8518, 47788, 25489, 2186, 42205, 41065, 10385, 19048"
23797,train,"46226, 19660, 47209, 13176, 21903, 39877, 39984, 46676, 21137, 2078, 27845, 24184, 18926, 22035, 45007, 22124, 8518, 18891, 691, 25043, 42265, 34977, 1935, 42796, 32734, 46979, 15008, 12206, 31533, 2101, 43210, 29487, 34551, 23165, 28132"
52351,train,"25146, 20344, 12916, 19313"
6045,test,"18023, 4149, 33279, 1957"
89088,train,"4605, 11109, 29987, 10644, 47766, 47890"
110156,train,"38293, 29798, 44683, 43864, 18829, 5959, 23794"
53073,test,"24852, 48220, 44683, 38662, 5194, 21137, 46654, 22031, 25931"
86461,train,"36929, 16490, 21137, 13176, 39877, 8277, 5876, 12456, 32655, 20738"
57320,train,"18987, 46041, 23888, 40332, 15752, 41950, 38940, 2539, 5450, 24852, 276, 28427, 44987, 3990, 37449, 31355, 36431, 2434, 27398"
85646,train,"7715, 29447, 15392, 8277, 12315, 42445, 28476"
919,train,"42615, 20345, 41220, 4562, 34969, 47766, 24184, 28633, 1640, 5818, 5024, 35946, 6187, 35951, 5373"
116994,train,"28226, 29987, 40001, 40229, 8021, 31927, 12320, 14447, 7371"
33596,train,"5077, 10246, 10798, 32655, 42803, 1463, 6948, 8277, 47209, 30494, 27104, 27966, 25767, 38456, 28278, 42445, 22825, 10112, 33527"
49747,test,"1598, 25879, 29447, 24852, 4920, 24964, 28928, 5450, 27966, 3491, 42325, 29127"
83876,test,"28842, 17400, 14976, 5450, 3142, 18441, 1025, 9955"
91179,train,"47766, 16797, 24852, 7175, 11777, 25615, 30340, 40332, 22825, 37011, 18095, 20919, 32429, 27044, 42418, 43007, 7908, 10805, 2295, 28842, 45656, 27966"
117661,test,"45066, 24852, 4920, 11777, 7916, 4562, 47626, 47209, 39180, 21903, 13083, 21616, 13263, 40396, 16797, 39561, 26209, 8619, 47225, 30489, 20536"
72273,test,"26620, 22935, 49191, 34969, 28436, 21872, 28204"
112415,test,"13733, 47141, 40977, 2475, 18534, 6481, 1702, 14536, 30463"
179983,test,"5456, 16797, 36976, 23029, 47873, 4812, 31504, 18629, 28420, 49622, 26209, 33232, 13417, 33090"
5684,train,"27845, 24852, 44765, 26209, 30391, 35045, 8197, 39527, 49517, 45613, 43768, 4305, 31717, 8518, 22935"
134075,train,"9138, 47209, 20142, 38192, 42803, 48423, 10581, 33467"
67023,test,"34668, 22825, 12756, 10070, 13176"
127120,train,"27325, 12409, 21137, 37876, 48110, 9106, 46587, 28199"
53002,train,"24852, 36011, 38985, 32579, 39977, 16185, 47630, 17988, 15604, 28378, 31292, 27966, 24489, 26604, 46979, 39275, 18918, 47310, 30252, 3661, 36640, 40229, 42342, 16349, 40604, 260, 39216, 39619, 35887, 18599, 13409, 20168, 22849, 10644, 4605"
166167,train,"22395, 22935, 24964, 35163, 41593, 45, 8518, 23383, 2785, 8670"
84123,train,"21137, 44359, 781, 34526, 27966"
3746,test,20114
132778,train,"24852, 35107, 32837, 34690, 28092, 47766, 35199, 41787, 8193, 41242, 15359, 22935, 19003, 34358, 13135, 13231, 44402, 21781, 35206, 2632"
176220,train,"21137, 21616, 21903, 40604, 18353, 47792"
86599,train,"329, 37067, 2855, 36695, 1244, 21038, 27104, 6651, 32622, 12872, 12392, 28476, 23029, 42265, 29662, 16617, 38281, 33640, 26369, 26940, 24764, 27344, 21506, 7150, 46916"
31760,train,"43154, 5876, 9839, 30450, 29129, 15081, 21903, 22220, 24489, 1158, 4461, 24852, 33465"
107698,train,"117, 5514, 1890, 33000, 29616, 21137, 48486, 44683, 2077, 38425, 15973, 21413, 33754, 37234, 43122, 17747, 31506, 38984, 43421, 37646, 43129, 29311"
129002,train,"13783, 29502, 7560, 23888, 48440, 41722, 21472, 45061, 43508"
11770,test,"46720, 33731, 4799, 34243, 4605, 5818, 45621, 33722, 4429, 17794, 44359, 47370, 34358, 15462"
12637,train,"15780, 7126, 11773, 20494"
115314,test,"47271, 26620, 39947, 12576, 31964, 45747, 49520, 5322, 10180, 24852, 28204, 4920, 8174, 21137, 39877, 46906"
171681,train,"37134, 20561, 43207, 30183, 46435, 28730, 12738, 33129"
127269,test,"23219, 32689, 28156, 37354, 43565, 34898, 16185, 5077, 8424, 21925, 4210, 38269, 40203, 17931, 46138"
201432,test,"5069, 32915, 28985, 1848, 15290, 46347, 29657, 47626, 39108, 32271, 5077, 8555, 40706, 29594, 40619, 40781, 19333, 3308, 21019, 6036, 4605, 44142, 1181, 2408, 7177, 21938, 46522, 48205, 24571, 14814, 18460, 9387, 14897"
26763,test,"34423, 5902"
161405,train,"18947, 41475, 34134, 14211, 43875, 21737, 47888, 6891, 39468, 42345, 44787, 23527, 5103"
38754,train,"35135, 18288, 12496, 48775, 22475, 49683, 24009, 22142, 11520, 5258"
164072,train,"23165, 41433, 48523, 5031, 2361, 33443, 432, 742, 18918, 13874, 44422, 8006, 21137"
202311,train,"274, 26717, 521, 8136, 42976, 24671, 23142, 47668, 12442, 11718, 31066, 8797"
67803,test,"25890, 32553, 24852, 22035, 44910, 28204, 34969, 47209, 26620, 26209, 43961, 8424, 49683, 34635, 18814, 21010, 16797, 37276, 22151, 45537, 21903, 33731, 46979, 24489, 38164, 42110, 13870, 28849, 40706, 41238, 18599, 45958, 40709, 13535, 42059, 34358, 14778, 21019"
134426,train,"36268, 25890, 1130, 5479, 16965"
80429,test,"38426, 6489, 7413, 14447, 14233, 37935, 11168, 6655, 8594"
44867,test,"43394, 47616, 49235, 47672, 17600, 24535, 32124, 48595, 21376, 2983, 44765, 1483, 7559, 7628, 26369, 12576, 38250, 44204, 16154, 37220, 2371, 35108, 28289, 43961, 6489, 18288, 36441, 26710, 23516, 48720"
21470,train,"27930, 47209, 29460, 1516, 5646, 5132"
70971,test,"19447, 26646, 26367, 20624, 3431, 8228, 29956, 31778, 13372, 26144"
109439,train,"24518, 47626, 14739, 24184, 26209, 8424, 37646, 47766, 47890, 24235, 34969, 42625, 18656, 27156, 22395, 890, 18599, 4562, 22935, 5025"
178596,train,"37923, 38444, 927, 23504, 26227, 33065, 24362, 16753, 14379, 43568, 24097, 48364, 4920, 35588, 4347, 11777, 9076, 36316, 36259, 5296, 20118, 36591, 13536"
136526,train,"9384, 17364, 47357, 31242, 24852, 15541, 4920, 30696, 29584, 8352, 26714, 5456, 2481, 41771, 18725, 15211, 6236, 26604, 3275, 1616, 19382, 260, 32971, 18109, 7781, 18792, 5785"
51457,train,"32989, 25081, 35484, 47800, 24852, 35871, 41375, 37262"
3011,train,"36865, 30489, 5450, 24852, 39619"
79570,test,"33527, 2452, 40852"
81389,test,"26712, 37066, 1536, 46844, 13866, 40028, 42176"
181203,train,"25931, 44643, 13924, 31506, 36406, 12847, 1360, 41149, 17794, 20114, 546"
198326,train,"9477, 196, 42888, 48333, 7326, 4210, 27086, 20556, 18457, 47284, 35383, 37096, 24852, 15424, 37886, 45531, 5321, 23817"
13934,train,"15767, 42958, 8968, 26604, 15992, 48726, 27086, 35989, 26620, 27811, 24372"
104337,train,"9411, 3179, 277"
198499,test,"22882, 17600, 18175, 26348, 43693, 31964, 27344, 42460, 30696, 12403, 48335, 46041"
8958,train,"2295, 33731, 24852, 24830, 9124, 27156, 21295, 40604, 35898, 45603, 27521, 46969, 8518"
7685,train,"4658, 39697, 3944, 42097"
130294,test,"45052, 47365, 26709, 17122, 24956, 4798, 5183, 8397, 38307"
136737,train,"46149, 36472"
77218,train,"26620, 45190"
63680,test,"24852, 25890, 8309, 24799, 16145, 12962"
118101,train,"33825, 3896, 5134, 5820, 29392, 27548, 22922, 13176, 8671, 31288, 27845, 6003, 43352"
170851,train,"30391, 25753, 22825, 38622, 31766, 28985, 8424, 41950, 40516, 46979, 47626, 42265, 48745, 46906, 11068, 32537, 29370, 17021, 8277, 44632, 35383, 30489, 31506, 9076, 16797, 44828, 8933, 3142"
123693,test,"27966, 21137, 20738, 5785, 24184, 23541, 35951, 32033, 18770"
205695,test,"2344, 30489, 18027, 21903, 13176, 3952, 11712, 6348, 24184, 24009, 46533, 16349"
67446,test,"22721, 14901, 47119, 7963, 39097, 33787, 33754, 22124, 41618"
6036,train,"43961, 5450, 28985, 25890, 27104, 30850, 8424, 30776, 45066, 47788, 28849, 37257, 6519, 41950, 13176"
194006,train,"4920, 2228, 24489, 432, 26648"
7221,train,"13176, 33055, 35921, 47325, 45840, 12576, 31611, 7963, 27509, 30391, 21616, 28465, 24799"
186750,test,"20608, 31506, 12592, 46558, 42205, 20114, 26209, 43712, 39877, 16185"
75377,train,"24852, 47766, 38456, 13263, 30776, 20794, 8516, 17878"
162722,train,"21344, 30505, 12036, 9521, 10082, 3793, 35431"
140335,train,"38689, 45066, 30949, 45123, 47672, 15700, 4799, 22825, 32360, 33407, 48857, 40660, 43249, 7948, 12845, 36968"
133591,train,"11712, 45446, 5450, 79, 24964, 13292, 8022, 18599, 3599, 12312, 11140, 37496, 38383, 44359, 47734, 17794, 21938, 9092, 44283"
19318,test,"27845, 11598, 24852, 25584, 12016, 30745, 21903, 1203, 42768, 25552, 23801, 15887, 31869, 30305, 37065, 28572, 5383, 41544, 35140"
148048,test,"40174, 33352, 47626, 13702, 9138, 26940"
49575,train,"24852, 30233, 8518, 21174, 5450, 46676, 37065, 30720, 27156, 34565, 21616, 24024, 24549"
131902,test,"15902, 26282, 13176, 3634, 14633, 25072, 21376"
178381,test,"8193, 4149, 24489, 33290, 194"
159214,train,"35503, 6948, 24852, 21137, 39128, 8736, 14218, 22888, 5876, 5883, 41220, 29487, 216, 8518, 42736, 38231, 19508, 35400, 19611"
75537,train,"27521, 5876, 11520, 1999, 4962, 23165, 44359, 8277, 17985, 21903, 45767, 21616"
152385,train,"24852, 25407, 20904, 20574, 19348, 46906, 4945, 5212, 46900, 31343, 5699, 23417, 26317, 21903, 21137, 6178, 42450, 28156"
3216,train,"39057, 27156, 47766, 26209, 35234"
119073,train,"24852, 44035, 16757, 14678, 21850, 2825, 47209, 20995, 47626, 39485, 38844, 26634, 7657, 10840, 22113, 8021, 36412, 41149, 39275, 5693, 39121"
74578,train,"10049, 25686, 41714, 26882, 21936, 23734, 6825, 5970, 43715, 46361, 35985, 41709, 3459, 47145, 36816"
52089,test,"14165, 21100, 3873"
133328,train,"23457, 39409, 34055, 19240, 3434, 5421, 44536, 15925, 11943, 10193, 30571, 30320, 29285, 48163, 19012, 49144, 27555, 3562, 32293, 33787, 31848, 37066, 18761"
112479,train,"5450, 22031, 49628, 22151, 9736, 41870, 25138, 9076, 43352, 24852, 16896, 3145, 21709, 20119, 5194, 939, 40931, 20169, 29285, 15655, 29077, 46206, 38159, 9387, 36011, 16415, 36698, 19635, 38809, 13774, 26599, 14652, 6069, 17224, 18281, 10180, 43669, 29967"
177289,train,"397, 39276, 28092, 42360, 8707, 23645, 34308, 8460, 44325, 18132, 4269, 26322, 1322, 18713, 2512, 20634, 46945, 20281, 16878, 46169, 10957, 20512, 13179, 16605, 44971, 5176, 33519, 40882, 39310, 15589, 34540"
128359,train,"35349, 33592, 4268, 45066, 24456, 42828, 7952, 11140, 13541"
148902,test,"24852, 34329, 27663, 38689, 11005, 27086, 43713, 11556, 24850, 35628, 25138"
166585,train,30162
179601,test,"47209, 42082, 35135, 768, 2397, 2282, 43086"
78576,train,"46979, 31506, 8424, 8193"
72667,test,"28572, 14378, 4367, 4920, 248, 46591, 47526, 16995"
175088,train,"31778, 41860, 8192, 34128, 18572"
155054,train,"28634, 12099, 5110, 28842, 7419, 40009, 19511, 46053, 8536, 21157, 26209, 48299, 13731, 48956, 46434, 44142, 49520, 46041, 44147, 3262, 29892, 21584, 8718, 7838, 31343, 17268, 30764"
42668,test,"20379, 11270, 48878, 21009, 43352, 19057, 14233"
203119,test,"48277, 4138, 4472, 24852, 1752, 17183, 34993, 31404"
118289,test,"5025, 47780, 41220, 34449, 29078, 41058, 4086, 19691, 9387, 12975, 7330, 34969, 12035, 38266, 24852, 28156"
13701,train,"24838, 43295, 5876, 7916, 14126, 43122, 17721, 37141, 8710, 21903, 7559, 45066, 47209, 24518, 27966, 10761, 13176, 1516, 25167, 9076, 16797, 34590, 26209, 46802, 11185, 32293, 5646, 9438, 14651, 4576, 24231, 37766"
76009,train,"20463, 2305, 29095, 13176, 3541"
138849,test,"13176, 39408, 6184, 15772, 16797, 32303"
41178,test,"27086, 27845, 32655, 8025, 19478, 33731, 21137, 26604, 28199, 36418, 43961, 41844, 26940, 34243, 48364, 24184"
80879,train,43154
114117,train,"21137, 39275, 26604, 35951, 19775, 10565, 28785"
116635,train,"32712, 24852, 43662, 8590, 32864, 24799, 29553, 40332, 38470, 10673, 15036, 13799"
92508,train,"44728, 5450, 45007, 41950, 26209, 29370, 25890, 30953, 47626, 35050, 32177, 46616, 30169, 39408, 4920, 44910, 8424, 566, 40604"
104331,train,"39921, 8637, 19766, 27966, 28993, 4699, 32784, 41264, 5025, 1783, 12099, 47357, 27323, 19080, 8584, 23075, 31517, 16920"
83872,train,"32655, 47766, 44632, 36082, 17123, 49175, 19678, 28745, 35221, 10112, 43875, 38984, 47888"
169512,test,"23650, 47766, 39013, 2081, 8193, 35031, 27509, 36011, 4659, 41290, 19511, 32757, 37528, 34622, 7870, 18523, 17600, 13431, 7559"
173906,train,"37067, 21288"
51868,test,"46779, 25830, 7781, 45064, 2463, 24852, 13755, 9605, 34466"
4002,test,"32734, 7493, 40723, 5959, 31927, 34927, 24852, 30442, 21903, 18382, 49683, 22035, 47766, 17794, 39578, 14947"
203573,train,"23554, 46666, 18465, 22474, 39509, 13740, 19006, 46175, 13380"
24892,test,"40706, 30391, 42347, 38557"
1109,test,"23734, 8193, 26209, 29675, 14992, 40969, 37687, 42540, 22260, 7485, 44219, 13535, 16748"
84398,train,47209
145190,test,"4986, 23909, 9411, 49496, 29516, 35864, 22449, 1700, 39502, 34127, 36436, 47272, 49508, 45674, 12053, 10421, 18573, 43183, 44290, 5468, 959, 12232, 26221"
